Step,Score
0,0
1,0
2,0
3,0
4,10
5,10
6,0
7,0
8,10
9,50
10,70
11,70
12,70
13,80
14,90
15,90
16,90
17,90
18,90
19,100
20,110
21,110
22,110
23,130
24,130
25,140
26,140
27,140
28,140
29,140
30,130
31,130
32,130
33,130
34,130
35,130
36,130
37,130
38,130
39,130
40,130
41,130
42,130
43,130
44,130
45,130
46,130
47,130
48,130
49,130
50,130
51,130
52,130
53,130
