Step,Score
0,0
1,0
2,0
3,10
4,20
5,20
6,10
7,30
8,40
9,60
10,70
11,100
12,120
13,130
14,140
15,130
16,150
17,160
18,170
19,190
20,190
21,190
22,190
23,200
24,200
25,200
26,200
27,200
28,200
29,190
30,190
31,190
32,190
33,190
34,190
35,190
36,190
37,190
38,190
39,190
40,190
41,190
42,190
43,190
44,190
45,190
46,190
47,190
48,190
49,190
50,190
