Step,Score
0,0
1,0
2,0
3,0
4,20
5,10
6,30
7,60
8,90
9,130
10,130
11,130
12,140
13,140
14,150
15,160
16,180
17,200
18,210
19,210
20,210
21,210
22,190
23,190
24,190
25,190
26,190
27,190
28,200
29,210
30,210
31,210
32,210
33,210
34,210
35,210
36,210
37,210
38,210
39,210
40,210
41,210
42,210
43,210
44,210
45,210
46,210
47,210
